"File","Pattern","Line","Original","Fixed","ContextBefore","ContextAfter"
"src\lib\server\embeddings\auto-embed-service.ts","Object Literal Colon in Function Call","14","embedText(text: string, model: string = 'embeddinggemma:latest')","embedText(text, string, model: string = 'embeddinggemma:latest')","  }

  async embedText(text: string, model: string = 'embeddinggemma:latest'): Promise<number[]> {","    const cacheKey = this.getCacheKey(text, model);
    const cached = await this.redis.get(cacheKey);
"
"src\lib\server\embeddings\auto-embed-service.ts","Object Literal Colon in Function Call","60","getCacheKey(text: string, model: string)","getCacheKey(text, string, model: string)","  }

  private getCacheKey(text: string, model: string): string {","    return `embedding:${model}:${hash}`;
  }
}"
"src\lib\server\langextract\legal-parser.ts","Object Literal Colon in Function Call","39","parse(text: string)","parse(text, string)","  private ollama = new OllamaClient();

  async parse(text: string): Promise<LegalDocument> {","    const doc = nlp(text);

    const parties = await this.extractParties(text, doc);"
"src\lib\server\langextract\legal-parser.ts","Object Literal Colon in Function Call","60","extractParties(text: string, doc: any)","extractParties(text, string, doc: any)","  }

  private async extractParties(text: string, doc: any): Promise<Party[]> {","    const organizations = doc.organizations().out('array');
    const people = doc.people().out('array');
"
"src\lib\server\langextract\legal-parser.ts","Object Literal Colon in Function Call","94","extractDates(doc: any)","extractDates(doc, any)","  }

  private extractDates(doc: any): LegalDate[] {","
    return dates.map((d: any) => ({
      text: d.text,"
"src\lib\server\langextract\legal-parser.ts","Object Literal Colon in Function Call","104","classifyDateType(text: string)","classifyDateType(text, string)","  }

  private classifyDateType(text: string): string {","    if (text.includes('effective')) return 'effective_date';
    if (text.includes('execution')) return 'execution_date';
    return 'general_date';"
"src\lib\server\langextract\legal-parser.ts","Object Literal Colon in Function Call","111","extractClauses(text: string)","extractClauses(text, string)","  }

  private async extractClauses(text: string): Promise<Clause[]> {","    const clausePattern = /(?:^|\n)(\d+\.?\s+|[A-Z][^.!?]*:)/gm;
    const matches = text.matchAll(clausePattern);
"
"src\lib\server\langextract\legal-parser.ts","Object Literal Colon in Function Call","154","classifyClause(clauseText: string)","classifyClause(clauseText, string)","  }

  private async classifyClause(clauseText: string): Promise<string> {","    const prompt = `Classify the type of this legal clause (e.g., ""indemnification"", ""termination"", ""governing_law"", ""payment"").

Clause:"
"src\lib\server\langextract\legal-parser.ts","Object Literal Colon in Function Call","171","classifyDocument(text: string)","classifyDocument(text, string)","  }

  private async classifyDocument(text: string): Promise<{","    type: string;
    risk: 'low' | 'medium' | 'high' | 'critical';
  }> {"
"src\lib\server\ocr\ocr-pipeline.ts","Object Literal Colon in Function Call","21","extractFromPDF(pdfBuffer: Buffer)","extractFromPDF(pdfBuffer, Buffer)","  private tesseract = Tesseract;

  async extractFromPDF(pdfBuffer: Buffer): Promise<OCRResult[]> {","    const images = await this.pdfToImages(pdfBuffer);

    // OCR each page"
"src\lib\server\ocr\ocr-pipeline.ts","Object Literal Colon in Function Call","33","extractFromImage(imageBuffer: Buffer)","extractFromImage(imageBuffer, Buffer)","  }

  async extractFromImage(imageBuffer: Buffer): Promise<OCRResult> {","    const tesseractResult = await this.tesseract.recognize(imageBuffer, 'eng');

    if (tesseractResult.data.confidence > 70) {"
"src\lib\server\ocr\ocr-pipeline.ts","Object Literal Colon in Function Call","50","pdfToImages(pdfBuffer: Buffer)","pdfToImages(pdfBuffer, Buffer)","  }

  private async pdfToImages(pdfBuffer: Buffer): Promise<Buffer[]> {","    const pdf = await loadingTask.promise;

    const images: Buffer[] = [];"
"src\lib\server\ocr\ocr-pipeline.ts","Object Literal Colon in Function Call","74","extractLayout(tesseractData: any)","extractLayout(tesseractData, any)","  }

  private extractLayout(tesseractData: any): LayoutInfo {","
    return {
      blocks: blocks.map((b: any) => ({"
"src\lib\server\ocr\ocr-pipeline.ts","Object Literal Colon in Function Call","88","detectTables(lines: any[])","detectTables(lines, any[])","  }

  private detectTables(lines: any[]): any[] {","    console.warn('Table detection not implemented.');
    return [];
  }"
"src\lib\server\ocr\ocr-pipeline.ts","Object Literal Colon in Function Call","94","detectHeaders(words: any[])","detectHeaders(words, any[])","  }

  private detectHeaders(words: any[]): any[] {","    console.warn('Header detection not implemented.');
    return [];
  }"
"src\lib\server\queue\rabbitmq-client.ts","Object Literal Colon in Function Call","11","connect(url: string)","connect(url, string)","  }

  async connect(url: string): Promise<void> {","    console.log(`Attempting to connect to RabbitMQ at ${url}`);
    this.connection = {}; // Dummy connection
    this.channel = {};    // Dummy channel"
"src\lib\server\queue\rabbitmq-client.ts","Object Literal Colon in Function Call","18","publish(queue: string, message: any)","publish(queue, string, message: any)","  }

  async publish(queue: string, message: any): Promise<void> {","    console.log(`Published message to queue '${queue}':`, message);
  }
"
"src\lib\server\queue\rabbitmq-client.ts","Object Literal Colon in Function Call","23","consume(queue: string, callback: (message: any)","consume(queue, string, callback: (message: any)","  }

  async consume(queue: string, callback: (message: any) => void): Promise<void> {","    console.log(`Consuming messages from queue '${queue}'`);
  }
}"
"src\lib\server\rabbitmq\index.ts","Object Literal Colon in Function Call","13","publishToQueue(queue: string, data: any)","publishToQueue(queue, string, data: any)","}

export async function publishToQueue(queue: string, data: any) {","  channel!.sendToQueue(queue, Buffer.from(JSON.stringify(data)));
}
"
"src\lib\server\rabbitmq\index.ts","Object Literal Colon in Function Call","18","consumeQueue(queue: string, handler: (msg: any)","consumeQueue(queue, string, handler: (msg: any)","}

export async function consumeQueue(queue: string, handler: (msg: any) => Promise<void>) {","  channel!.consume(queue, async (msg) => {
    if (!msg) return;
    try {"
"src\lib\server\ranking\hybrid-ranker.ts","Object Literal Colon in Function Call","20","constructor(db: any)","constructor(db, any)","  private db: any; // Placeholder for Drizzle instance

  constructor(db: any) {","  }

  async rank(query: {"
"src\lib\server\ranking\hybrid-ranker.ts","Object Literal Colon in Function Call","24","rank(query: {
    text: string;
    embedding: number[];
    candidates: SearchResult[];
  })","rank(query, {
    text: string;
    embedding: number[];
    candidates: SearchResult[];
  })","  }

  async rank(query: {","    embedding: number[];
    candidates: SearchResult[];
  }): Promise<RankedResult[]> {"
"src\lib\server\reports\stream.ts","Object Literal Colon in Function Call","26","broadcastUpdate(event: any)","broadcastUpdate(event, any)","}

export function broadcastUpdate(event: any) {","  listeners.forEach((send) => send(data));
  if (redisSubscriber?.publish) redisSubscriber.publish('reports:updates', data);
}"
"src\lib\server\services\case-management.ts","Object Literal Colon in Function Call","63","getDashboardStats(userId: string)","getDashboardStats(userId, string)","   * Get comprehensive dashboard statistics
   */
  static async getDashboardStats(userId: string): Promise<CaseDashboardStats> {","      // Get user's assigned cases
      const userCases = await db
        .select()"
"src\lib\server\services\case-management.ts","Object Literal Colon in Function Call","185","getCases(userId: string, filters: CaseFilters = {}, page = 1, limit = 20)","getCases(userId, string, filters: CaseFilters = {}, page = 1, limit = 20)","   * Get cases with filtering and pagination
   */
  static async getCases(userId: string, filters: CaseFilters = {}, page = 1, limit = 20) {","      let query = db
        .select({
          case: cases,"
"src\lib\server\services\case-management.ts","Object Literal Colon in Function Call","257","createCase(caseData: NewCase, createdBy: string)","createCase(caseData, NewCase, createdBy: string)","   * Create a new case with activity logging
   */
  static async createCase(caseData: NewCase, createdBy: string): Promise<Case> {","      const [newCase] = await db.insert(cases).values(caseData).returning();

      // Log case creation activity"
"src\lib\server\services\case-management.ts","Object Literal Colon in Function Call","420","createTodo(todoData: NewCaseTodo)","createTodo(todoData, NewCaseTodo)","   * Create a new todo with AI suggestions
   */
  static async createTodo(todoData: NewCaseTodo): Promise<CaseTodo> {","      const [newTodo] = await db.insert(caseTodos).values(todoData).returning();

      // Log todo creation"
"src\lib\server\services\case-management.ts","Object Literal Colon in Function Call","483","getRecommendations(caseId: string, status?: string)","getRecommendations(caseId, string, status?: string)","   * Get recommendations for a case
   */
  static async getRecommendations(caseId: string, status?: string) {","      let query = db
        .select({
          recommendation: caseRecommendations,"
"src\lib\server\services\case-management.ts","Object Literal Colon in Function Call","602","generateAIRecommendations(caseId: string)","generateAIRecommendations(caseId, string)","   * Generate AI recommendations for a case
   */
  static async generateAIRecommendations(caseId: string): Promise<CaseRecommendation[]> {","      // Get case details for AI analysis
      const [caseDetails] = await db.select().from(cases).where(eq(cases.id, caseId));
"
"src\lib\server\services\reportService.ts","Object Literal Colon in Function Call","107","fetchCitationsFromMinIO(userId: string)","fetchCitationsFromMinIO(userId, string)","
/** 🧰 MinIO Fallback Fetcher */
async function fetchCitationsFromMinIO(userId: string): Promise<Citation[]> {","    endpoint: CONFIG.MINIO_URL,
    region: CONFIG.MINIO_REGION ?? 'us-east-1',
    credentials: {"
"src\lib\server\vectordb\dual-vector-store.ts","Object Literal Colon in Function Call","18","constructor(qdrant: QdrantClient, db: Drizzle)","constructor(qdrant, QdrantClient, db: Drizzle)","  private db: Drizzle;

  constructor(qdrant: QdrantClient, db: Drizzle) {","    this.db = db;
  }
"
"src\lib\server\vectordb\dual-vector-store.ts","Object Literal Colon in Function Call","23","indexDocument(doc: {
    id: string;
    text: string;
    embedding: number[];
    metadata: {
      tags: string[];
      document_type: string;
      risk_level: string;
      parties: Party[];
      dates: LegalDate[];
    };
  })","indexDocument(doc, {
    id: string;
    text: string;
    embedding: number[];
    metadata: {
      tags: string[];
      document_type: string;
      risk_level: string;
      parties: Party[];
      dates: LegalDate[];
    };
  })","  }

  async indexDocument(doc: {","    text: string;
    embedding: number[];
    metadata: {"
"src\lib\server\vectordb\dual-vector-store.ts","Object Literal Colon in Function Call","69","search(query: {
    embedding: number[];
    filters?: {
      tags?: string[];
      document_type?: string;
      risk_level?: string;
    };
    limit?: number;
  })","search(query, {
    embedding: number[];
    filters?: {
      tags?: string[];
      document_type?: string;
      risk_level?: string;
    };
    limit?: number;
  })","  }

  async search(query: {","    filters?: {
      tags?: string[];
      document_type?: string;"
"src\lib\server\vectordb\dual-vector-store.ts","Object Literal Colon in Function Call","110","buildQdrantFilter(filters: {
    tags?: string[];
    document_type?: string;
    risk_level?: string;
  })","buildQdrantFilter(filters, {
    tags?: string[];
    document_type?: string;
    risk_level?: string;
  })","  }

  private buildQdrantFilter(filters: {","    document_type?: string;
    risk_level?: string;
  }): any {"
"src\lib\services\cross-encoder-reranker.ts","Object Literal Colon in Function Call","10","normalizePiece(piece: string | { text: string })","normalizePiece(piece, string | { text: string })","};

function normalizePiece(piece: string | { text: string }): string {","  return raw.replace(/\s+/g, ' ').trim();
}
"
"src\lib\services\determinism-evaluation-service.ts","Object Literal Colon in Function Call","75","recordUserFeedback(feedback: Omit<UserFeedback, 'id' | 'timestamp'>)","recordUserFeedback(feedback, Omit<UserFeedback, 'id' | 'timestamp'>)","   * Record user feedback
   */
  async recordUserFeedback(feedback: Omit<UserFeedback, 'id' | 'timestamp'>): Promise<string> {","      id: crypto.randomUUID(),
      timestamp: new Date(),
      ...feedback,"
"src\lib\services\determinism-evaluation-service.ts","Object Literal Colon in Function Call","129","recordTestResult(testResult: Omit<TestResult, 'id' | 'timestamp'>)","recordTestResult(testResult, Omit<TestResult, 'id' | 'timestamp'>)","   * Record test results
   */
  async recordTestResult(testResult: Omit<TestResult, 'id' | 'timestamp'>): Promise<string> {","      id: crypto.randomUUID(),
      timestamp: new Date(),
      ...testResult,"
"src\lib\services\determinism-evaluation-service.ts","Object Literal Colon in Function Call","353","calculateQueryComplexity(query: string)","calculateQueryComplexity(query, string)","   * Calculate query complexity
   */
  private calculateQueryComplexity(query: string): number {","    const length = query.length;
    const words = query.split(/\s+/).length;
    const hasCode = /```|`[^`]+`/.test(query);"
"src\lib\services\determinism-evaluation-service.ts","Object Literal Colon in Function Call","374","calculateHistoricalSuccessRate(similarQueries: any[])","calculateHistoricalSuccessRate(similarQueries, any[])","   * Calculate historical success rate
   */
  private async calculateHistoricalSuccessRate(similarQueries: any[]): Promise<number> {","    return 0.8;
  }
"
"src\lib\services\determinism-evaluation-service.ts","Object Literal Colon in Function Call","426","generateRecommendations(metrics: EvaluationMetric[])","generateRecommendations(metrics, EvaluationMetric[])","   * Generate recommendations based on metrics
   */
  private async generateRecommendations(metrics: EvaluationMetric[]): Promise<string[]> {","
    for (const metric of metrics) {
      if (metric.value < 0.7) {"
"src\lib\services\document-ingestion-service.ts","Object Literal Colon in Function Call","53","parsePDF(filePath: string, options: { maxPages?: number } = {})","parsePDF(filePath, string, options: { maxPages?: number } = {})","   * Parse PDF file and extract text
   */
  async parsePDF(filePath: string, options: { maxPages?: number } = {}): Promise<ParsedDocument> {","      console.log(`📄 Parsing PDF: ${filePath}`);

      const fileBuffer = await fs.readFile(filePath);"
"src\lib\services\document-ingestion-service.ts","Object Literal Colon in Function Call","97","crawlWebPage(url: string, options: CrawlOptions = {})","crawlWebPage(url, string, options: CrawlOptions = {})","   * Crawl web page and extract content
   */
  async crawlWebPage(url: string, options: CrawlOptions = {}): Promise<ParsedDocument> {","
    try {
      console.log(`🌐 Crawling webpage: ${url}`);"
"src\lib\services\document-ingestion-service.ts","Object Literal Colon in Function Call","165","crawlWebsite(startUrl: string, options: CrawlOptions = {})","crawlWebsite(startUrl, string, options: CrawlOptions = {})","   * Crawl multiple pages from a website
   */
  async crawlWebsite(startUrl: string, options: CrawlOptions = {}): Promise<ParsedDocument[]> {","    const visited = new Set<string>();
    const toVisit = [startUrl];
    const results: ParsedDocument[] = [];"
"src\lib\services\document-ingestion-service.ts","Object Literal Colon in Function Call","263","chunkText(text: string, baseMetadata: Record<string, any>)","chunkText(text, string, baseMetadata: Record<string, any>)","   * Chunk text into smaller pieces with overlap
   */
  private chunkText(text: string, baseMetadata: Record<string, any>): DocumentChunk[] {","    const words = text.split(/\s+/);

    let currentChunk = '';"
"src\lib\services\document-ingestion-service.ts","Object Literal Colon in Function Call","315","cleanText(text: string)","cleanText(text, string)","   * Clean and normalize text content
   */
  private cleanText(text: string): string {","      .replace(/\s+/g, ' ') // Normalize whitespace
      .replace(/\n\s*\n/g, '\n') // Remove empty lines
      .trim();"
"src\lib\services\document-ingestion-service.ts","Object Literal Colon in Function Call","325","generateDocumentId(source: string)","generateDocumentId(source, string)","   * Generate consistent document ID from source
   */
  private generateDocumentId(source: string): string {","  }

  /**"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","199","extractEntities(text: string)","extractEntities(text, string)","   * Extract entities from text
   */
  private extractEntities(text: string): {","    organizations: string[];
    locations: string[];
    dates: string[];"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","231","extractLegalConcepts(text: string)","extractLegalConcepts(text, string)","   * Extract legal concepts from text
   */
  private extractLegalConcepts(text: string): string[] {","      'contract',
      'breach',
      'negligence',"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","268","calculateComplexityScore(content: string)","calculateComplexityScore(content, string)","   * Calculate document complexity score
   */
  private calculateComplexityScore(content: string): number {","    const words = content.split(/\s+/);

    // Factors contributing to complexity"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","293","generateTags(doc: ProcessedLegalDocument)","generateTags(doc, ProcessedLegalDocument)","   * Generate tags for document
   */
  private generateTags(doc: ProcessedLegalDocument): string[] {","    const content = (doc.content + ' ' + doc.title).toLowerCase();

    // Add metadata-based tags"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","334","extractDocumentMetadata(doc: ProcessedLegalDocument)","extractDocumentMetadata(doc, ProcessedLegalDocument)","   * Extract document metadata
   */
  private extractDocumentMetadata(doc: ProcessedLegalDocument): DocumentMetadata {","      id: doc.id,
      title: doc.title,
      source: doc.metadata.source,"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","398","convertToJSON(documents: ProcessedLegalDocument[], filename?: string)","convertToJSON(documents, ProcessedLegalDocument[], filename?: string)","   * Convert to JSON format
   */
  async convertToJSON(documents: ProcessedLegalDocument[], filename?: string): Promise<string> {","    const jsonFilename = filename || `legal-docs-${timestamp}.json`;
    const jsonPath = path.join(this.outputDir, 'json', jsonFilename);
"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","420","convertToJSONL(documents: ProcessedLegalDocument[], filename?: string)","convertToJSONL(documents, ProcessedLegalDocument[], filename?: string)","   * Convert to JSONL format
   */
  async convertToJSONL(documents: ProcessedLegalDocument[], filename?: string): Promise<string> {","    const jsonlFilename = filename || `legal-docs-${timestamp}.jsonl`;
    const jsonlPath = path.join(this.outputDir, 'jsonl', jsonlFilename);
"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","435","exportMetadata(metadata: DocumentMetadata[], filename?: string)","exportMetadata(metadata, DocumentMetadata[], filename?: string)","   * Export metadata separately
   */
  async exportMetadata(metadata: DocumentMetadata[], filename?: string): Promise<string> {","    const metadataFilename = filename || `metadata-${timestamp}.json`;
    const metadataPath = path.join(this.outputDir, 'metadata', metadataFilename);
"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","448","exportChunks(documents: ProcessedLegalDocument[], filename?: string)","exportChunks(documents, ProcessedLegalDocument[], filename?: string)","   * Export enhanced chunks separately
   */
  async exportChunks(documents: ProcessedLegalDocument[], filename?: string): Promise<string> {","    const chunksFilename = filename || `chunks-${timestamp}.jsonl`;
    const chunksPath = path.join(this.outputDir, 'chunks', chunksFilename);
"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","472","saveStatistics(statistics: ProcessingStatistics, filename?: string)","saveStatistics(statistics, ProcessingStatistics, filename?: string)","   * Save processing statistics
   */
  async saveStatistics(statistics: ProcessingStatistics, filename?: string): Promise<string> {","    const statsFilename = filename || `stats-${timestamp}.json`;
    const statsPath = path.join(this.outputDir, 'statistics', statsFilename);
"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","485","saveBatch(documents: ProcessedLegalDocument[], batchIndex: number)","saveBatch(documents, ProcessedLegalDocument[], batchIndex: number)","   * Save batch during processing
   */
  private async saveBatch(documents: ProcessedLegalDocument[], batchIndex: number): Promise<void> {","    const batchContent = documents.map((doc) => JSON.stringify(doc)).join('\n');
    await fs.writeFile(batchPath, batchContent);
    console.log(`💾 Batch ${batchIndex} saved: ${batchPath}`);"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","506","loadFromJSON(filePath: string)","loadFromJSON(filePath, string)","   * Load documents from JSON file
   */
  async loadFromJSON(filePath: string): Promise<ProcessedLegalDocument[]> {","      const content = await fs.readFile(filePath, 'utf-8');
      const data = JSON.parse(content);
      return data.documents || data; // Handle both wrapped and raw formats"
"src\lib\services\document-processor.ts","Object Literal Colon in Function Call","520","loadFromJSONL(filePath: string)","loadFromJSONL(filePath, string)","   * Load documents from JSONL file
   */
  async loadFromJSONL(filePath: string): Promise<ProcessedLegalDocument[]> {","      const content = await fs.readFile(filePath, 'utf-8');
      return content
        .split('\n')"
"src\lib\services\existing-services-orchestrator.ts","Object Literal Colon in Function Call","40","processQuery(query: string, context?: any[])","processQuery(query, string, context?: any[])","   * Process query using existing services - no new downloads needed
   */
  async processQuery(query: string, context?: any[]): Promise<OrchestrationResult> {","
    // Phase 1: Check existing cache (your current Redis)
    const cacheKey = this.generateCacheKey(query, context);"
"src\lib\services\existing-services-orchestrator.ts","Object Literal Colon in Function Call","83","processWithExistingOllama(query: string, classification: any)","processWithExistingOllama(query, string, classification: any)","   * Use your existing Ollama models - gemma3-legal, embeddinggemma, nomic-embed-text
   */
  private async processWithExistingOllama(query: string, classification: any): Promise<any> {","      let modelName: string;
      let memoryBank: string;
"
"src\lib\services\existing-services-orchestrator.ts","Object Literal Colon in Function Call","154","buildPrompt(query: string, type: string)","buildPrompt(query, string, type: string)","   * Build appropriate prompt based on query type
   */
  private buildPrompt(query: string, type: string): string {","      return `You are a legal AI assistant. Provide a comprehensive legal analysis for: ${query}

Consider relevant laws, precedents, and practical implications. Structure your response clearly with legal reasoning.`;"
"src\lib\services\existing-services-orchestrator.ts","Object Literal Colon in Function Call","167","generateMockResponse(query: string, type: string)","generateMockResponse(query, string, type: string)","   * Generate mock response when services unavailable (for demo purposes)
   */
  private generateMockResponse(query: string, type: string): any {","      simple: `Based on general principles, ${query.toLowerCase().includes('what') ? 'this typically refers to' : 'this usually involves'} standard practices and common understanding. [Demo Response - Using Existing Infrastructure]`,

      complex_legal: `**Legal Analysis for Query:**"
"src\lib\services\existing-services-orchestrator.ts","Object Literal Colon in Function Call","197","classifyQuery(query: string)","classifyQuery(query, string)","   * Simple query classification - no external model needed
   */
  private classifyQuery(query: string): any {","      'contract',
      'law',
      'legal',"
"src\lib\services\existing-services-orchestrator.ts","Object Literal Colon in Function Call","229","generateCacheKey(query: string, context?: any[])","generateCacheKey(query, string, context?: any[])","  }

  private generateCacheKey(query: string, context?: any[]): string {","    return `EXISTING:${Buffer.from(query + contextStr)
      .toString('base64')
      .slice(0, 16)}`;"
"src\lib\services\gemma-embedding-service.ts","Object Literal Colon in Function Call","99","isModelAvailable(model: string)","isModelAvailable(model, string)","   * Check if model is available in Ollama
   */
  private async isModelAvailable(model: string): Promise<boolean> {","      const response = await fetch(`${this.ollamaUrl}/api/show`, {
        method: 'POST',
        headers: { 'Content-Type': 'application/json' },"
"src\lib\services\gemma-embedding-service.ts","Object Literal Colon in Function Call","116","generateEmbedding(text: string, model?: string)","generateEmbedding(text, string, model?: string)","   * Generate embedding for single text
   */
  async generateEmbedding(text: string, model?: string): Promise<number[]> {","
    try {
      const response = await fetch(`${this.ollamaUrl}/api/embeddings`, {"
"src\lib\services\gemma-embedding-service.ts","Object Literal Colon in Function Call","292","calculateCosineSimilarity(embeddingA: number[], embeddingB: number[])","calculateCosineSimilarity(embeddingA, number[], embeddingB: number[])","   * Calculate cosine similarity between two embeddings
   */
  calculateCosineSimilarity(embeddingA: number[], embeddingB: number[]): number {","      throw new Error('Embeddings must have the same dimensions');
    }
"
"src\lib\services\gemma-embedding-service.ts","Object Literal Colon in Function Call","428","delay(ms: number)","delay(ms, number)","  }

  private delay(ms: number): Promise<void> {","  }

  private generateBatchId(): string {"
"src\lib\services\gemma-embedding-service.ts","Object Literal Colon in Function Call","450","switchModel(modelName: string)","switchModel(modelName, string)","   * Switch to different model
   */
  async switchModel(modelName: string): Promise<boolean> {","      this.currentModel = modelName;
      console.log(`✅ Switched to model: ${modelName}`);
      return true;"
"src\lib\services\kmeans-clustering.ts","Object Literal Colon in Function Call","20","mulberry32(seed: number)","mulberry32(seed, number)"," * Simple seeded RNG (mulberry32) to allow deterministic clustering when seed is provided.
 */
function mulberry32(seed: number) {","  return function () {
    t += 0x6d2b79f5;
    let r = Math.imul(t ^ (t >>> 15), 1 | t);"
"src\lib\services\kmeans-clustering.ts","Object Literal Colon in Function Call","30","euclideanSquared(a: Vector, b: Vector)","euclideanSquared(a, Vector, b: Vector)","}

function euclideanSquared(a: Vector, b: Vector): number {","  for (let i = 0; i < a.length; i++) {
    const d = a[i] - b[i];
    s += d * d;"
"src\lib\services\kmeans-clustering.ts","Object Literal Colon in Function Call","39","addInto(target: Vector, source: Vector)","addInto(target, Vector, source: Vector)","}

function addInto(target: Vector, source: Vector) {","}

function divScalar(v: Vector, s: number) {"
"src\lib\services\kmeans-clustering.ts","Object Literal Colon in Function Call","43","divScalar(v: Vector, s: number)","divScalar(v, Vector, s: number)","}

function divScalar(v: Vector, s: number) {","}

function clone(v: Vector): Vector {"
"src\lib\services\kmeans-clustering.ts","Object Literal Colon in Function Call","47","clone(v: Vector)","clone(v, Vector)","}

function clone(v: Vector): Vector {","}

/**"
"src\lib\services\kmeans-clustering.ts","Object Literal Colon in Function Call","59","kmeans(points: Vector[], options: KMeansOptions)","kmeans(points, Vector[], options: KMeansOptions)"," * - options.seed: optional number to make initialization deterministic
 */
export function kmeans(points: Vector[], options: KMeansOptions): KMeansResult {","    throw new Error('points must be a non-empty array of vectors');
  }
  const k = options.k;"
"src\lib\services\kmeans-clustering.ts","Object Literal Colon in Function Call","167","predict(point: Vector, centroids: Vector[])","predict(point, Vector, centroids: Vector[])","
/** Predict cluster index for a single point given centroids */
export function predict(point: Vector, centroids: Vector[]): number {","    throw new Error('invalid input to predict');
  }
  let best = -1;"
"src\lib\services\legal-ai-orchestrator.ts","Object Literal Colon in Function Call","58","processQuery(query: string, context?: any[])","processQuery(query, string, context?: any[])","   * Main orchestration method - Nintendo-style routing with memory management
   */
  async processQuery(query: string, context?: any[]): Promise<OrchestrationResult> {","    
    // Phase 1: Check Nintendo L3 Cache first (Redis)
    const cacheKey = this.generateCacheKey(query, context);"
"src\lib\services\legal-ai-orchestrator.ts","Object Literal Colon in Function Call","116","classifyQuery(query: string)","classifyQuery(query, string)","   * Classify query using fast router model
   */
  private async classifyQuery(query: string): Promise<QueryClassification> {","    Analyze this query and classify it. Respond with just one word:
    - ""simple"" for basic questions, definitions, or factual queries
    - ""complex_legal"" for legal analysis, case law, contract review, or legal advice"
"src\lib\services\legal-ai-orchestrator.ts","Object Literal Colon in Function Call","161","handleSimpleQuery(query: string, startTime: number)","handleSimpleQuery(query, string, startTime: number)","   * Handle simple queries with fast model and L2 memory
   */
  private async handleSimpleQuery(query: string, startTime: number): Promise<OrchestrationResult> {","      // Check L2 cache first (system RAM)
      const l2CacheKey = `L2_SIMPLE:${this.hashQuery(query)}`;
      const l2Cached = await this.memoryManager.checkL2Cache(l2CacheKey);"
"src\lib\services\legal-ai-orchestrator.ts","Object Literal Colon in Function Call","258","handleEmbeddingQuery(query: string, startTime: number)","handleEmbeddingQuery(query, string, startTime: number)","   * Handle embedding generation requests
   */
  private async handleEmbeddingQuery(query: string, startTime: number): Promise<OrchestrationResult> {","      const response = await fetch(`${this.clients.embedding_service.baseUrl}/embeddings`, {
        method: 'POST',
        headers: { 'Content-Type': 'application/json' },"
"src\lib\services\legal-ai-orchestrator.ts","Object Literal Colon in Function Call","295","buildLegalPrompt(query: string, context: any[])","buildLegalPrompt(query, string, context: any[])","   * Build enhanced legal prompt with context
   */
  private buildLegalPrompt(query: string, context: any[]): string {","      ? `\n\nRelevant Context:\n${context.map(c => `- ${c.content || c}`).join('\n')}`
      : '';
"
"src\lib\services\legal-ai-orchestrator.ts","Object Literal Colon in Function Call","312","generateCacheKey(query: string, context?: any[])","generateCacheKey(query, string, context?: any[])","   * Generate cache key with Nintendo-style hashing
   */
  private generateCacheKey(query: string, context?: any[]): string {","    const queryHash = this.hashQuery(query);
    return `LEGAL_QUERY:${queryHash}${contextHash ? ':' + contextHash : ''}`;
  }"
"src\lib\services\legal-ai-orchestrator.ts","Object Literal Colon in Function Call","321","hashQuery(input: string)","hashQuery(input, string)","   * Simple hash function for Nintendo-style bank switching
   */
  private hashQuery(input: string): string {","    for (let i = 0; i < input.length; i++) {
      const char = input.charCodeAt(i);
      hash = ((hash << 5) - hash) + char;"
"src\lib\services\library-sync-service.ts","Object Literal Colon in Function Call","48","startPeriodicSync(intervalHours: number = 6)","startPeriodicSync(intervalHours, number = 6)","   * Start periodic library sync (every 6 hours by default)
   */
  startPeriodicSync(intervalHours: number = 6): void {","
    this.syncInterval = setInterval(async () => {
      try {"
"src\lib\services\library-sync-service.ts","Object Literal Colon in Function Call","121","fetchGitHubRepoMetadata(repo: string)","fetchGitHubRepoMetadata(repo, string)","   * Fetch repository metadata from GitHub API
   */
  async fetchGitHubRepoMetadata(repo: string): Promise<LibraryMetadata | null> {","      const response = await fetch(`https://api.github.com/repos/${repo}`, {
        headers: {
          'User-Agent': 'Enhanced-RAG-Assistant',"
"src\lib\services\library-sync-service.ts","Object Literal Colon in Function Call","222","fetchNpmPackageMetadata(packageName: string)","fetchNpmPackageMetadata(packageName, string)","   * Fetch NPM package metadata
   */
  async fetchNpmPackageMetadata(packageName: string): Promise<LibraryMetadata | null> {","      const response = await fetch(`https://registry.npmjs.org/${packageName}`);
      if (!response.ok) return null;
"
